technique_id,technique_name,tactic,platform,confidence
T1059.001,PowerShell,Execution,Windows,high
T1059.003,Windows Command Shell,Execution,Windows,high
T1003.001,LSASS Memory,Credential Access,Windows,medium
T1003.003,NTDS,Credential Access,Windows,high
T1055.001,Dynamic-link Library Injection,Defense Evasion,Windows,medium
T1055.012,Process Hollowing,Defense Evasion,Windows,high
T1078,Valid Accounts,Initial Access,Windows|Linux|macOS,high
T1566.001,Spearphishing Attachment,Initial Access,Windows|Linux|macOS,high
T1566.002,Spearphishing Link,Initial Access,Windows|Linux|macOS,high
T1053.005,Scheduled Task,Persistence,Windows,high
T1047,Windows Management Instrumentation,Execution,Windows,medium
T1021.001,Remote Desktop Protocol,Lateral Movement,Windows,high
T1021.002,SMB/Windows Admin Shares,Lateral Movement,Windows,high
T1071.001,Web Protocols,Command and Control,Windows|Linux|macOS,high
T1071.004,DNS,Command and Control,Windows|Linux|macOS,medium
T1105,Ingress Tool Transfer,Command and Control,Windows|Linux|macOS,high
T1027,Obfuscated Files or Information,Defense Evasion,Windows|Linux|macOS,high
T1027.002,Software Packing,Defense Evasion,Windows|Linux|macOS,medium
T1070.004,File Deletion,Defense Evasion,Windows|Linux|macOS,high
T1070.001,Clear Windows Event Logs,Defense Evasion,Windows,high
T1562.001,Disable or Modify Tools,Defense Evasion,Windows|Linux|macOS,high
T1112,Modify Registry,Defense Evasion,Windows,high
T1082,System Information Discovery,Discovery,Windows|Linux|macOS,high
T1083,File and Directory Discovery,Discovery,Windows|Linux|macOS,high
T1057,Process Discovery,Discovery,Windows|Linux|macOS,medium
T1018,Remote System Discovery,Discovery,Windows|Linux|macOS,high
T1016,System Network Configuration Discovery,Discovery,Windows|Linux|macOS,medium
T1049,System Network Connections Discovery,Discovery,Windows|Linux|macOS,medium
